author,usertext,wordcount,thecount,Icount,andcount,upvotes
Staleina,"I've semi done this when it comes to the ___ 2 or whatever games.
I own the first one, have I finished playing it? No. I should wait until I finish the first one.
Still tempted to buy the second one just because it's on sale for 50% off? Remind self that if I wait until I finish the first one, there will be another sale later this year when I could pick it up at potentially a greater discount.
",80,5,7,0,17
altrdgenetics,"you say that, and Dark Souls 1 does not have any discount at the moment.
",15,1,0,1,8
lud1120,"Especially after flash sales got removed and the new refund system a few years back, there aren't that many  actually great deals anymore.
2013 and 2014 still had a bunch.
",30,1,0,2,3
mcatominey10,"What's the deal with Just Cause 3? I heard it had performance issues, what's it like now?
",17,1,1,0,127
empyfunk,"it's really a gamble. ran like shit on my xbone, but i love the franchise so i got it for my pc (i5-6600k, GTX970). Runs like butter on my system, but some people with identical specs are reporting framerate issues. 
Super fun gameplay though.
I would recommend you get it and see if it gives you any guff within the first two hours. if it does, return it since the Devs won't be patching it.
",75,3,1,1,90
ANTIVAX_JUGGALO,"Ran like shit for me (25-33 fps). Then I got rid of that annoying grainy screen effect and it only dropped below 60 during crazy explosions.
",26,0,1,1,29
sergregor,,0,0,0,0,16
SexyMrSkeltal,"The major issue with the game is the memory leak, but if you have 16gb of RAM, you'll likely never experience any issues related to it. I've had the game up for 12+ hours a few times and never once started to get any slow down or lag. But if you have 8gb of RAM, there's a good chance you'll run into it.
I have an r9 280x, and I run the game at Max settings and still never dip below ~55 FPS. Others with beefier systems but less RAM experience game-breaking lag after just a few hours.
",98,4,2,3,16
lukeLOL,"I still enjoyed it on a GTX 980 with i5 3570k. Average 50~ fps. 
",14,0,1,0,12
irespectfemales123,,0,0,0,0,10
wired41,"I've had my eye on SOMA for a while now and I may get it.  Is it worth it at that price?  How did you guys like it? 
Edit: thanks for the response guys, I picked it up :)
",39,1,2,1,59
fablesandreflections,"Just take a glance at all of the over the top user reviews. They are not wrong. One of the best horror games I've ever played. FANTASTIC story, wonderfully immersive atmosphere, very tense and scary. Honestly, I've recommended it to several hardcore horror gamers who tend to stick to AAA titles, and they've all said it's the best horror game they have ever experienced. It's worth it at full price, so I definitely recommend that you need to grab it at this price. 
",83,4,1,2,30
pineapple_mango,"If I don't like Amnesia will I like Soma?
",9,0,2,0,10
Unicornsandwich,"I dont like Amnesia but loved Soma. If you are into scifi and horror its a must 
",17,0,1,1,8
dreadful05,"I didn't like \ never got into Amnesia, but I enjoyed Soma. I  played it with the Wuss mod and really enjoyed the story. 
",24,2,3,1,5
mrharlo,"Grabbed it at the start of the sale, loving it so far. Worth the price IMO. I love first person exploration games with a good narrative. So far it has some run from the bad guy bits, but it's not nearly as bad as Amnesia in this regard. Beautiful game, amazing sound design, super creepy atmosphere.
",56,4,1,0,29
SinisterRaze,"Seriously amazing. Played it once for the full experience, then I added the mod to make the ""monsters"" not try to hurt you so I could just dive into the story with out the run and hide mechanic. Great price currently.
",41,5,2,1,12
wjousts,"SOMA is quite brilliant. 
I hated Amnesia (same dev), so I was undecided on whether or not to try SOMA, but I did (in the Humble Monthly) and was glad I did. It's really good. 
",35,1,4,1,11
viscence,"It's an actual science fiction game rather than just being set in a science fiction setting. 
Which is great.
",19,0,0,0,11
questionketo,,0,0,0,0,42
Daywing77,,0,0,0,0,57
RonDamon44,"It's more of an action/rpg game, pretty good on its own and you should get 20-40 hours out of it, depending on how much you are into side-quests and achievements. 
",30,0,0,2,8
Hold_my_Dirk,"It's more like dynasty warriors with Dragon quest characters.  Be careful though, it doesn't run well on Nvidia cards.  The game wouldn't go full screen for me, even with their ""fix"" in the options menu.  It seemed okay gameplay wise but the fact that it didnt run well at all on nvidia cards was surprising.  It is literally the only game I have ever returned on Steam.
",67,3,1,0,6
bobcobble,,0,0,0,0,313
imyxle,"I thought Steam sales keep prices throughout the entirety of the sale now, so were the games in this post not discounted until today or how do they decide which games to post on what days?
",36,3,1,0,34
stellarfluffy,"The prices stay the same throughout; they just highlight different deals on the front page each day.
",17,2,0,0,28
PaulFThumpkins,"I think it's really weird for Steam to get a separate thread every day just because they highlight different sales every day. I don't mind the threads since they give us an opportunity to highlight different titles, but I feel like we're only posting daily threads because of a few years back when there were flash sales and daily deals.
",60,1,3,1,93
growlgrrl,"People do comment on the games featured that day so there is some daily discussion. The issue come with a single mega-thread for the whole sale is there is so many comments it kills discussion.
",35,2,0,0,110
SexyMrSkeltal,"Actually they do daily threads because each thread get's hundreds, sometimes thousands of comments, and if any people wanted to discuss or ask questions about certain games, they'd get drowned out before the entire post was forgotten about after the first week.
People don't go back and search up old threads to comment in, after a day or two, they're dead. So making a new thread everyday allows people to possibly see recommendations for games they might not have considered, deals they might not have seen, or they can ask questions about games they otherwise wouldn't get answered.
And really, it doesn't hurt anything at all to have daily threads, so why not?
",113,2,0,2,32
Morpheon7,"i think of it more as a new thread to talk in each day so the discussions don't get buried under thousands of comments.  The new highlighted titles are just recommended starting points for that talk.
",36,1,0,0,6
VinTheHuman,"+1 plug for SOMA. God, that game was great - one of my favorite 'existential' games. Really gets you thinking. 
",20,0,0,0,29
bob138235,"There's a bundle that has Civ 6 and XCOM 2. If you already have one of them, you can get the other for even less than the normal sale price by getting the bundle instead. 
I'm sure there are other bundles that work similarly, but most have tons of games that you may not want. 
",55,3,0,1,23
Dakota_Gamer,"Stonehearth looks pretty interesting...thoughts of you who have played it?
",10,0,0,0,45
Ariwara_no_Narihira,"As a backer, wait another two years. It's not an abandoned game - but it will take a long time before it is more fleshed out. 
",26,0,0,0,81
414922188583709317,"Agreed. It's really great, and I don't think there's anything else quite like it. They've come a long way, but they still have a ways to go. It's certainly playable, so if you want to back the indie scene you will get product. But they're creating and breaking things at a pace that might not be fast enough for some.
",60,1,1,2,21
ibleedorangekoolaid,"I recommend rimworld
",3,0,1,0,7
BrutalJones,,0,0,0,0,169
PaulTheMerc,"well, this got me to buy Subnautica.  
That brings my steam summer sale so far to; stardew valley x2, transistor, and subnautica.
",22,0,0,1,33
Fjolsvithr,"I played Transistor on release and couldn't get into it. Played it again a year later, finished it, and loved it. If anyone reading this never finished, go back and give it another shot.
",34,0,1,3,19
bradgillap,"Over 200 hours into subnautica. It may be my all time favourite game ever made next to maybe morrowind. 
It is also nearly finished and the devs seem very interested in continuing to add content and modding support after completion.  
",40,1,0,2,10
metinsamet,"Would you tell me why i should buy subnautica?
",9,0,0,0,17
mattman111,"It has actually content and is cheaper. 
",7,0,0,1,43
Flairtor,"Anyone who hasn't already absolutely has to buy Fallout New Vegas and FTL: Faster than light right now. Both are going for $2.50 I.e they're cheap as hell and will both give you upwards of 50 hours of content. For those prices they are absolute steals. Shoutout to half life 2 which is also about $1.
",56,0,0,2,204
markus9134,"Well its a crime to play Fallout New Vegas without the DLC so you need to spend 10 bucks. Also many mods won't work without them and yes its also a crime to play it without mods. ;)
",38,1,0,1,126
saruin,"Can the same be said about Fallout 4?
",8,1,0,0,12
BluCommander,"Nope.  Most of the Fallout 4 dlc isn't very impressive.
",10,1,0,0,32
saruin,"What about current mods available?
",5,0,0,0,4
4InchesOfury,"Far Harbor saved Fallout 4 for me though. It fixed so many things that were wrong with the RPG elements of the base game. 
",24,2,0,0,13
wormfoodfeud,"I tried Fallout 4 when it released. I got maybe 20 hours in and stopped. Wasn't thrilled with the shallow roleplaying system. How does Far Harbor improve on the RPG elements, and is the horror/noir vibe executed well enough to justify the purchase if I already own the game?
",49,5,3,2,11
Airiq49,"Any time I go to play NV (for the first time) the graphics are so... dated. 
All I end up doing is: launch, see graphics, look for mods, spend an eternity researching, install mods, never play again.
I know I'm missing out on something great, though.
",46,2,3,0,26
Darklicorice,,0,0,0,0,59
Airiq49,"MVP. Thanks!
",2,0,0,0,4
ChillFactory,"Pretty sure that just about everyone has played half life 2 at this point, but for those of you young folk who are wondering why the fuck people care about half life 3 and why half life is still talked about 13 years later, definitely check it out. You will not regret it.
",53,1,0,1,34
TheresAlwaysThisYear,"I haven't. =(
",3,0,1,0,41
ChillFactory,"No worries buddy, now's your chance! Good news is that due to its age its able to run on just about any computer nowadays. The game looks pretty damn good as is, but there's also some high res texture packs out there to spiffy it up if you so choose. Even with the base game though you'll have a blast, it is an incredible game.
",65,1,0,0,26
TheresAlwaysThisYear,"Do I buy just half life 2 or do I buy any and all of the extras? I just played through portal and portal 2 this weekend and am itching for more valve. Edit: what about the first one?
",39,2,3,3,7
speedyskier22,"If you want Gordan's whole story, you should play half life 1, half life 2, hl2 episode 1, and hl2 episode 2
",22,0,0,1,9
TheresAlwaysThisYear,"Is it wrong to just buy Half Life 2 and jump in from there?
",14,0,0,1,7
Bizm0,"Pm me your steam user ID. I have a copy to give. 
",12,0,1,0,20
ThatBoogieman,"Nah, it's its own self-contained piece of the story, and the only proper 'full' and 'modern' game. Ep 1 and 2 are also 'modern', but you'd be hard-pressed to get more than 5-7 hours out of each as they're episodic content, whereas HL2 will probably take at least around 20-25 hours to play through.
",54,2,0,3,9
dylosaur,"I definitely started with HL2 and later went back to play HL1.  I'd almost recommend this, because I think a large part of why I was able to get through the somewhat-dated first game is because I was so hooked from the second.
",43,2,4,1,5
Crammucho,"Hmmm.... have still not played the Half life games.  I'm not so young either, just always thought they were multiplayer games.
So should I start with Half life one or can I go straight to 2?  Also, what's with the episodes, or are they just multiplayer add-ons?
",47,2,2,0,6
ChillFactory,"You can easily jump right into HL2 and have a great time. Personally I have never played HL1 and I felt like HL2 was just fine on its own. The episodes are continuations off the end of HL2. The order is HL2, then Episode 1, then Episode 2. They are all single player games, no internet connection needed or anything like that.
",62,1,2,2,15
yeeouch_seafood_soup,"FTL is one of the best games I have ever played. It was such a pleasant surprise. 
",17,1,1,0,11
BurningB1rd,"So are there three parts of Half life 2 (HL 2, HL 2 Episode 1 +2)? Or is the main game already with the two episodes?
",26,2,0,0,19
bdzz,"Yes, three parts. HL2, Episode1, and Episode 2.
",8,0,0,1,28
mekranil,"I'm looking for some relaxing, casual games (Example: Stardew Valley)
Any recommendations? So far I'm looking at these: 
-Slime Rancher (would love to hear thoughts on this game)
-Cat Goes Fishing
-Bejeweled 3 (duh)
-Hollow Knight (I know it's hard, but I loved Ori)
",44,0,1,0,18
lomaxgnome,"Slime Rancher was fun for a while but wears thin, the actual content isn't really there. Cat Goes Fishing is surprisingly great, I'd highly recommend it. Imo Bejeweled has been surpassed many times over, you'd be better off with the more modern (mostly mobile) games. Personally my go to game for short bursts is Pinball FX2, it's not as merciless as real tables and uses the themes really well, you can try out any table if you download it and lots of them are really cheap right now.
",88,3,0,2,16
lady_ninane,,0,0,0,0,17
notnAti,"I really recommend Hollow Knight if you like exploration and platformer games.
It's not that focused on the platforming itself but there is so much to explore and the combat feels amazing as well.
The artstyle is one of the best I've seen in recent years (although I'm a bit of a sucker for cartoonish graphics with filters on them) and the soundtrack is beautiful.
However, this game is not for impatient people. It requires some backtracking unless following a guide (which I don't recommend due to the game feeling more awesome when going in blind and just doing your own thing). There are also bossfights which might take you multiple tries.
But if you like metroidvania games, this game is, in my opinion, a must have.
Edit: There are also lots of unlockables which you can switch between to suit your playstyle the best. These range from abilities to upgrades to better platforming capabilities.
",155,6,2,4,8
rhllor,"Overcooked and Cook Serve Delicious.
",5,0,0,1,7
Nolat,"I'd hardly call overcooked relaxing, haha.
Also wouldn't recommend playing if you don't have people to couch co-op with. 
",19,0,0,0,9
Death_By_Pineapple,"I've been playing a lot of combat-free adventure/detective games recently. These are some of my favorites.
",16,0,0,0,34
Theoddonewhoknocks,"Fran Bow is dope. Looking forward to trying oxenfree
",9,0,0,0,5
Crvfts,"I've already picked up several games but I'm not done yet! 
What do you guys think of XCOM2 and Deus Ex: Mankind Divided? 
",23,0,0,1,15
Yourself013,"I really liked Mankind Divided. It has great gameplay, satisfying combat and visuals, multiple ways to play through levels with either stealth, lethal/non lethal, guns blazing, hacking or pure power and the levels are well designed with many hidden paths around and secret paths to find depending on what augments you invest into. I also really liked the story and its Cyberpunk-esque world and AFAIK the main complaint is that the story abruptly ends when you feel like the final act is coming. Which is a valid complaint,but up until that point I've been really enjoying it. And for this price tag it's definitely worth it. I got about 40 hours from the game and I'm playing through the DLC right now, which is nice value for the discounted price right now (but definitely not essential, only if you like what you see in the game-it's more of the same.) Also ignore any of the microtransactions, you get enough of everything in the game, they're just useless.
XCOM 2 is amazing. If you like turn-based games you'll love it. Very few games have made me care about my virtual team more than this game.
",194,12,3,6,21
four_three_three,,0,0,0,0,11
four_three_three,,0,0,0,0,11
loln00b,"No Man's Sky needs to be another $15 cheaper. 
",9,0,0,0,261
BrutalJones,"Just play Subnautica for $10 instead.
",6,0,0,0,218
viscence,"<3 subnautica.
Plus new stuff keeps coming out for it. 
",10,0,0,0,35
armedburrito,"That's because it's not done yet.
But yes, beautiful game, and experience.
",12,0,0,1,4
lskennedy,"Was just thinking ""Oh sweet no man's sky is 60% off...of $60?! I thought surely it'd be $30 by now""
",20,0,1,0,35
NEM3S1S,,0,0,0,0,15
Amplive,"Is neir automata worth the price tag
",7,1,0,0,92
OneManFreakShow,"I bought it on the first day of the sale and knew it was worth my money within five minutes. If you like Platinum Games or just general Japanese weirdness, it is a must-play. 
",34,2,1,1,125
HelloHerroHewwo,"Yes, however many players reported crashing and other issues even with great hardware.
",13,0,0,1,17
Tarquin11,"It was worth the full price tag.
As for whether you'll have any performance issues on PC, I dunno. I bought it on PS4 so it ran smoothly, but the game itself was amazing.
So far its my personal GOTY contender for games I've played.
",45,2,2,0,13
imyxle,"Maybe it's time to buy This War of Mine for $4...
",11,0,0,0,23
Podunk14,"It's worth $4. Just don't expect more than about 10 hours of unique game play.
After one or two play throughs it gets very repetitive and predictable 
",27,0,0,1,23
noobtablet9,"The atmosphere of the game is amazing. The game itself was an amazing experience, but the replay value isn't there. I think is worth full price but I alike it more to an amazing one time thing. For $4 you'd be a fool to not buy it. But don't buy the dlc 
",52,3,2,0,5
Dabrus,"I'm really on the fence about buying Planet Coaster. I loved Theme Park World and Rollercoaster Tycoon as a kid and it seems I will like this game too. But I also loved Sim City and I regret buying Cities Skylines (great game, but a little bit boring... it's too easy after the initial struggle). I played it around 20 hours and never came back. Is Planet Coaster similar to Cities Skylines as far as difficulty is concerned?
",78,2,5,4,11
myhihi1,"No Planet Coaster is equivalent to Cities Skylines as far as difficulty goes. Both are excellent for building cities and parks but are lackluster when it comes to anything else.
",30,0,0,1,6
bdzz,"Bought my first games
",4,0,0,0,30
bump909,"I loved Oxenfree.  Wish I could play it again for the first time.
",13,1,2,0,14
venturoo,"Oxen free is really good.
",5,0,0,0,9
FabricatedBoard,"Just bought Calvino Noir because you mentioned it, never heard of it before. The atmosphere looks amazing, even if the reviews are not particularly positive.
",25,1,0,0,4
Aretes,"Looking for opinions on The Sexy Brutale - murder mystery? Sexy? These are a few of my favourite things.
",19,0,0,0,8
CreamedSkudd,,0,0,0,0,58
thattanna,,0,0,0,0,75
Einmanabanana,"Arstotzka so great, passport not required.
...Right?
",7,0,0,0,40
Captain_Hampockets,"Sorry, Jorji.
",2,0,0,0,22
Casey234,"Some damn fine recommendations there! 
",5,0,0,0,8
Bradleyg223,"Can't recommend OOTP Baseball enough.
",5,0,0,0,16
XSC,"I love playing franchise mode on the show. Does this game allow to move oe build ew stadiums and work with concessions, ticket prices, etc? 
",25,1,1,1,3
steelersrock01,"OOTP does let you do these things, but be warned there's no actual gameplay like in the show. It's much more focused on running the franchise, managing prospects, etc. It's basically a spreadsheet simulator, but it's the best in the genre. You can also start in any historical year with accurate rosters and play up till present day, or create a fictional league and create your own universe,
",68,4,0,2,5
joddums,"My recommendations for anyone looking for cheap games on sale are To The Moon ($1.99), Brothers - A Tale of Two Sons ($1.49), Life is Strange ($4.99) and Firewatch ($8.99). All four are excellent in my opinion.
Any opinions on Rakuen, Kio's Adventure or Race the Sun? Those are the three games in my cart at the moment.
",58,3,0,1,17
debose,"Is The Walking Dead A New Frontier worth it? As someone who loved the previous 2 seasons, I've been hearing mixed things about the newest season..
",26,2,0,0,6
bdzz,"I've enjoyed it but it's really a rollercoaster ride. Like one episode is one of the best ever, top 3 for me, while another one is basically one of the worst they ever did. Also there are 5 endings and that was really cool, so not just ""good"" and ""bad"".
",50,2,0,2,7
Theoddonewhoknocks,"I went ahead and bought it because I loved the other two, but I'm a little apprehensive after hearing these mixed reviews. They promote the game with Clem everywhere and apparently she's just a small part, which makes me suspicious.
",40,2,2,2,4
Chizum,"I listen to podcasts while I game. Anyone recommend a game where you can grind and not really worry about story? 
",21,0,2,1,6
NEM3S1S,,0,0,0,0,22
Ekofisk3,"I..I don't know what happened here, this Steam summer sale is ruining me
",13,0,0,0,45
Vaskre,"If my experience is any indication, you'll only have played 20% of those within the next two years. Of that 20%, maybe 10% will see playtime > 2 hours. But fortunately, you'll find two or three you love to death and play 100+.
",43,1,0,1,44
dubesor86,"318 dollars if you are wondering. $2.65/product
",7,0,0,0,32
lolpancakeslol,"Dude, seriously. Stop. You're not gonna play a quarter of those. 
",11,0,0,0,19
questionketo,"The real question is, which one will you play first?
",10,0,0,0,7
syn1532,"""Hey Ekofisk3, you check out the Steam sale yesterday?""
""I... I'd rather not talk about it.""
",16,1,0,0,8
SirThinkzALot,"Is NMS worth at this price?
",6,0,0,0,74
Dredgen_Rin,"Nope.
",1,0,0,0,310
Jaspersong,"Definitely nope. 
",2,0,0,0,90
fe-and-wine,"I guess I'll be the dissenting opinion here.
Yeah, if you're into these types of games I'd pick it up. 
I bought NMS at launch for $60, got a good ~25 hours out of it (before any of the content patches, so that number should only be higher now) before getting bored and moving on to other things. 
",58,2,2,1,10
kcsmn,"Are there any games that take you to another world with its plot?
The last game like that was Dune. After playing Dune 2, I read all the books, played Dune 1, Dune 2000, Emperor of Dune.
I am sure I can't tell what I am asking but I hope you understand. A game that opens the gate of different reality. 
",61,2,5,0,6
darienrude_dankstorm,"Jerking aside, The Witcher 3 
",5,0,0,0,13
zootia,"Try the Warhammer 40k games. Very fleshed out universe.
",9,1,0,0,5
whys0seri0us44,"Is that a good price for H1Z1?
",7,0,0,0,6
bdzz,"Lowest ever
",2,0,0,0,3
mutsuto,,0,0,0,0,6
ChesswiththeDevil,"I bought Doom and FF8 (I never got to play this one). My wishlist has over 50 games on it but I don't have ton of time to play them until the next sale so I should just wait I think. That said, any real gems that I should consider. I tend to play FPS (non-online) and RPGs.
",58,1,6,2,4
mistalanious,"Full Throttle was the shit.
",5,1,0,0,5
DrHoenybun,"How is outlast + DLC is it worth the 4.33, or just the base game?
How about Shadows of Mordor for a non-LOTR fan. Does the gameplay hold up for someone who knows next to nothing about the world/universe? 
Is Darkest Dungeon worth it just for the base game, or do you need the new DLC to help with the main game? (I don't know much about DD)
How is Sniper Elite 3? 
Edit : Divinity Orginal Sin also looks interesting, how's that? 
Edit 2 : Thanks all for recommendations, with the budget I set for myself. Outlast + DLC, Shadows of Mordor, Darkest Dungeon (No-DLC). South Park and Sniper Elite 3 I cut the from the list simply because the other three were far more recommended, and was a little up there. 
Edit 3: Thanks for all the help, really. Shadcows of Mordor and Darkest Dungeon are my looking forwards to getting the most out of it. Outlast I'm still iffy on, but looks amazing. 
",166,13,2,3,8
Ghostfistkilla,"I never watched any of the LOTR movies and this game is still a blast to play. Absolute steal at that price. Imagine Assassins creed and Skyrim put together.
Sniper Elite 3 is great as well. 
",36,1,1,2,12
RonDamon44,"Outlast is perhaps the only videogame that has truly scared the wits out of me, play it using headphones, alone and in a dark room. Totally worth the asking price + dlc.
",32,3,0,1,17
MajorTomothy,"Shadows of Mordor doesn't have deep or detailed story, so as long as you don't hate the franchise you won't mind. It's fun as hell too!
",26,1,0,0,12
