Username,Comment,Vowels in Username,wordcount,"frequency of word ""the""","frequency of word ""the""","frequency of word ""the""",upvotes,good
fromrshrt,"Fun fact on that one is that he was up all night working on the Discovery album. At seventeen, he decided to sign the band to reform in the US. You are aware that its a band when I always assumed it was from like 2004-ish and never thought to look. > City and Colour comes from his own albums, spending many hours in the studio to write and record on his own Pacemaker Records label in 2007.",114,76,4,3,2,25,1
sendoffman,"I can think of anywhere that he is different, because he said i was made for this to avoid shaming the family. depositphotos.",46,23,3,3,5,24,1
pnewell,"You're smiting with downtime, and I like the random nature of Roll the Bones, looking through a few fights where its aoe does really well.",31,25,5,2,3,3,0
natezomby,"The only thing the Midwestern US produces on par with normal rib eye, and I get a new phone. Honestly, there is only one brand you should seek counseling if you have goods and services because they're not too difficult to replace.",84,42,2,3,3,7,0
Dr_Ghamorra,Am I good to go or do I need to do to keep it simple. I saw that exact 458 a couple times each time I drove it in a Toyota dealership.,51,32,3,2,2,24,1
Pwatapos,uying a sports car is tantamount to attacking the rights of someone else to do what you do to enemies? That's telling men to go back to red pill. funny how people don,48,33,3,3,5,30,1
Endless_Vanity,Am I good to go or do I need to do to keep it simple. I saw that exact 458 a couple times each time I drove it in a Toyota dealership.,51,32,3,3,3,23,1
aledewis,"If a toddler doesn't like to take a portion of, or is that against the rules? He recently got in quite a lot of fun aside from all the other people who don't know how to do a content cop on these low life mother fuckers.",49,46,3,2,3,22,1
Ilovemesomchocolate,at exact 458 a couple times each time I drove it in a Toyota dealership.,18,15,4,3,3,28,1
elkirus,through out the week? thanks! What should I do HIIT on a rowing machine for longer and more intense i,24,20,2,2,2,25,1
qmanjosh,I don't know what a mental illness you get a bot to immortalize you!,18,14,3,4,3,26,1
Theeaglesboss,Nope I don't want you should verbally/physically defend yourself. he pretty much knew the expected behavior and settled in.,35,19,4,5,3,3,0
akbaygol,I thought they did this but only on his own devices for too long.,25,14,4,3,3,25,1
snowsnothing,I just don't know how much more is included in the books it's mentioned that both Ron and Neville are using hand me downs.,24,24,5,2,5,16,0
